Time,Day,Weather,Vehicle_Count,Speed,Traffic_Level
07:00,Tuesday,Sunny,70,68,Low
14:00,Wednesday,Rainy,24,66,Low
21:00,Thursday,Rainy,195,36,Medium
10:00,Sunday,Cloudy,192,64,Medium
08:00,Wednesday,Rainy,47,21,Medium
13:00,Wednesday,Sunny,146,79,Medium
08:00,Friday,Rainy,230,44,High
18:00,Friday,Sunny,130,70,Medium
09:00,Monday,Sunny,84,38,Medium
06:00,Sunday,Sunny,102,32,Medium
16:00,Thursday,Rainy,161,18,High
12:00,Sunday,Cloudy,88,42,Low
16:00,Wednesday,Cloudy,164,36,Medium
18:00,Tuesday,Cloudy,295,44,High
06:00,Tuesday,Rainy,223,40,High
10:00,Friday,Rainy,263,42,High
19:00,Monday,Rainy,87,21,Medium
18:00,Wednesday,Rainy,293,79,High
21:00,Thursday,Rainy,294,63,High
19:00,Tuesday,Rainy,89,32,Medium
19:00,Friday,Cloudy,96,61,Low
14:00,Friday,Cloudy,297,74,High
14:00,Thursday,Sunny,34,74,Low
18:00,Friday,Rainy,95,34,Medium
22:00,Tuesday,Cloudy,211,79,Medium
21:00,Thursday,Sunny,81,65,Low
14:00,Monday,Sunny,26,40,Low
11:00,Monday,Cloudy,76,14,High
15:00,Friday,Cloudy,149,17,High
20:00,Monday,Cloudy,126,22,Medium
07:00,Tuesday,Rainy,111,24,Medium
15:00,Monday,Cloudy,270,46,High
09:00,Thursday,Sunny,45,60,Low
16:00,Thursday,Cloudy,247,54,High
07:00,Wednesday,Rainy,59,75,Low
15:00,Tuesday,Cloudy,80,42,Low
12:00,Friday,Rainy,91,39,Medium
16:00,Friday,Rainy,70,62,Low
10:00,Saturday,Sunny,278,15,High
14:00,Monday,Cloudy,268,20,High
19:00,Saturday,Rainy,79,12,High
09:00,Sunday,Cloudy,229,75,High
13:00,Saturday,Sunny,135,57,Medium
07:00,Friday,Rainy,216,14,High
20:00,Monday,Rainy,185,13,High
12:00,Wednesday,Sunny,259,53,High
13:00,Tuesday,Rainy,97,65,Low
10:00,Saturday,Rainy,236,46,High
06:00,Saturday,Sunny,121,24,Medium
11:00,Wednesday,Rainy,151,33,Medium
17:00,Wednesday,Cloudy,193,57,Medium
14:00,Saturday,Sunny,300,71,High
11:00,Monday,Cloudy,217,31,Medium
08:00,Thursday,Rainy,216,40,Medium
18:00,Tuesday,Sunny,231,63,High
18:00,Wednesday,Rainy,112,19,High
09:00,Sunday,Cloudy,142,28,Medium
10:00,Friday,Rainy,257,29,High
19:00,Friday,Rainy,202,75,Medium
22:00,Saturday,Rainy,42,31,Medium
08:00,Monday,Rainy,264,35,High
11:00,Sunday,Rainy,28,11,High
13:00,Friday,Cloudy,70,23,Medium
22:00,Sunday,Cloudy,208,28,Medium
14:00,Friday,Cloudy,24,25,Medium
11:00,Saturday,Sunny,108,60,Low
17:00,Monday,Cloudy,168,16,High
06:00,Saturday,Cloudy,92,59,Low
16:00,Saturday,Rainy,265,29,High
17:00,Thursday,Sunny,260,35,High
18:00,Thursday,Sunny,158,15,High
10:00,Tuesday,Cloudy,210,11,High
08:00,Tuesday,Cloudy,281,46,High
13:00,Friday,Rainy,297,29,High
17:00,Thursday,Cloudy,297,60,High
21:00,Sunday,Rainy,105,15,High
14:00,Saturday,Sunny,255,12,High
10:00,Saturday,Rainy,166,52,Medium
22:00,Saturday,Rainy,207,70,Medium
20:00,Friday,Cloudy,234,37,High
17:00,Monday,Sunny,83,28,Medium
15:00,Saturday,Cloudy,195,68,Medium
12:00,Thursday,Cloudy,248,62,High
09:00,Tuesday,Sunny,226,76,High
09:00,Thursday,Rainy,182,22,Medium
15:00,Sunday,Sunny,264,53,High
08:00,Wednesday,Cloudy,238,53,High
10:00,Thursday,Cloudy,214,44,Medium
09:00,Monday,Cloudy,285,30,High
14:00,Tuesday,Rainy,207,24,Medium
07:00,Thursday,Cloudy,67,32,Medium
20:00,Saturday,Sunny,296,49,High
20:00,Sunday,Sunny,116,16,High
12:00,Monday,Cloudy,84,21,Medium
08:00,Friday,Sunny,39,12,High
19:00,Monday,Rainy,109,80,Low
06:00,Friday,Cloudy,23,79,Low
06:00,Saturday,Sunny,165,16,High
07:00,Wednesday,Cloudy,189,70,Medium
17:00,Tuesday,Sunny,295,16,High
09:00,Sunday,Cloudy,55,60,Low
11:00,Tuesday,Rainy,200,43,Medium
16:00,Wednesday,Sunny,299,25,High
15:00,Tuesday,Rainy,251,25,High
20:00,Tuesday,Sunny,80,47,Low
14:00,Tuesday,Rainy,30,31,Medium
13:00,Sunday,Rainy,206,24,Medium
09:00,Wednesday,Sunny,187,65,Medium
16:00,Saturday,Cloudy,214,58,Medium
16:00,Tuesday,Rainy,59,63,Low
18:00,Wednesday,Cloudy,220,13,High
21:00,Saturday,Rainy,294,63,High
15:00,Thursday,Rainy,297,23,High
14:00,Saturday,Cloudy,168,39,Medium
19:00,Tuesday,Rainy,63,75,Low
06:00,Saturday,Cloudy,211,67,Medium
13:00,Friday,Rainy,59,20,Medium
17:00,Thursday,Cloudy,254,59,High
16:00,Wednesday,Rainy,280,31,High
12:00,Monday,Sunny,44,23,Medium
08:00,Tuesday,Rainy,228,67,High
08:00,Wednesday,Sunny,119,56,Low
08:00,Tuesday,Sunny,181,27,Medium
10:00,Sunday,Cloudy,255,72,High
11:00,Friday,Sunny,291,24,High
14:00,Thursday,Sunny,59,72,Low
19:00,Sunday,Cloudy,217,59,Medium
11:00,Sunday,Sunny,285,14,High
09:00,Friday,Rainy,169,62,Medium
09:00,Sunday,Cloudy,44,72,Low
19:00,Thursday,Cloudy,118,16,High
21:00,Tuesday,Cloudy,158,52,Medium
22:00,Sunday,Rainy,68,38,Medium
21:00,Thursday,Rainy,213,58,Medium
12:00,Friday,Rainy,208,42,Medium
16:00,Friday,Sunny,56,50,Low
08:00,Sunday,Sunny,125,72,Medium
09:00,Saturday,Sunny,298,10,High
06:00,Saturday,Rainy,271,45,High
19:00,Tuesday,Rainy,107,76,Low
07:00,Friday,Sunny,272,48,High
13:00,Wednesday,Cloudy,295,56,High
11:00,Thursday,Cloudy,68,54,Low
08:00,Thursday,Cloudy,221,74,High
14:00,Sunday,Rainy,37,60,Low
21:00,Friday,Sunny,76,16,High
12:00,Saturday,Sunny,243,75,High
08:00,Friday,Cloudy,194,39,Medium
20:00,Monday,Cloudy,78,51,Low
17:00,Thursday,Sunny,246,37,High
20:00,Tuesday,Cloudy,275,13,High
10:00,Saturday,Sunny,135,69,Medium
20:00,Sunday,Rainy,97,77,Low
10:00,Wednesday,Rainy,154,48,Medium
16:00,Tuesday,Cloudy,56,49,Low
15:00,Monday,Sunny,105,68,Low
13:00,Tuesday,Rainy,170,30,Medium
08:00,Saturday,Rainy,283,59,High
19:00,Saturday,Cloudy,253,63,High
14:00,Thursday,Cloudy,76,29,Medium
12:00,Saturday,Rainy,112,26,Medium
21:00,Wednesday,Rainy,217,18,High
08:00,Saturday,Rainy,212,29,Medium
17:00,Monday,Sunny,107,29,Medium
06:00,Saturday,Sunny,121,79,Medium
21:00,Wednesday,Cloudy,207,21,Medium
